"event","top_inning","batter_name","date"
"Flyout","Y","Alfonso Soriano","2012-06-01"
"Groundout","Y","Reed Johnson","2012-06-01"
"Single","Y","Jeff Baker","2012-06-01"
"Lineout","Y","Darwin Barney","2012-06-01"
"Strikeout","N","Gregor Blanco","2012-06-01"
"Single","N","Ryan Theriot","2012-06-01"
"Flyout","N","Melky Cabrera","2012-06-01"
"Flyout","N","Buster Posey","2012-06-01"
"Groundout","Y","Steve Clevenger","2012-06-01"
"Strikeout","Y","Adrian Cardenas","2012-06-01"
"Strikeout","Y","Tony Campana","2012-06-01"
"Strikeout","N","Angel Pagan","2012-06-01"
"Strikeout","N","Brett Pill","2012-06-01"
"Flyout","N","Joaquin Arias","2012-06-01"
"Single","Y","Starlin Castro","2012-06-01"
"Single","Y","Joe Mather","2012-06-01"
"Home Run","Y","Alfonso Soriano","2012-06-01"
"Groundout","Y","Reed Johnson","2012-06-01"
"Double","Y","Bryan LaHair","2012-06-01"
"Single","Y","Darwin Barney","2012-06-01"
"Groundout","Y","Steve Clevenger","2012-06-01"
"Flyout","Y","David DeJesus","2012-06-01"
"Groundout","Y","Zack Cozart","2012-06-01"
"Groundout","Y","Zachary Cozart","2012-06-01"
"Groundout","Y","Zach Cozart","2012-06-01"
"Strikeout","Y","Drew Stubbs","2012-06-01"
"Single","Y","Joey Votto","2012-06-01"
"Double","Y","Brandon Phillips","2012-06-01"
"Single","Y","Jay Bruce","2012-06-01"
"Forceout","Y","Ryan Ludwick","2012-06-01"
"Flyout","N","Jordan Schafer","2012-06-01"
"Groundout","N","Jose Altuve","2012-06-01"
"Flyout","N","Jed Lowrie","2012-06-01"
"Groundout","Y","Todd Frazier","2012-06-01"
"Flyout","Y","Devin Mesoraco","2012-06-01"
"Strikeout","Y","Mike Leake","2012-06-01"
"Single","N","Carlos Lee","2012-06-01"
"Flyout","N","Chris Johnson","2012-06-01"
"Walk","N","Brian Bogusevic","2012-06-01"
"Single","N","J.D. Martinez","2012-06-01"
"Forceout","N","Chris Snyder","2012-06-01"
"Strikeout","N","J.A. Happ","2012-06-01"
"Walk","Y","Zack Cozart","2012-06-01"
"Walk","Y","Zachary Cozart","2012-06-01"
"Walk","Y","Zach Cozart","2012-06-01"
"Flyout","Y","Drew Stubbs","2012-06-01"
"Single","Y","Joey Votto","2012-06-01"
"Grounded Into DP","Y","Brandon Phillips","2012-06-01"
"Groundout","N","Jordan Schafer","2012-06-01"
"Strikeout","N","Jose Altuve","2012-06-01"
"Walk","N","Jed Lowrie","2012-06-01"
"Lineout","N","Carlos Lee","2012-06-01"
"Strikeout","Y","Jay Bruce","2012-06-01"
"Single","Y","Ryan Ludwick","2012-06-01"
"Grounded Into DP","Y","Todd Frazier","2012-06-01"
"Groundout","N","Chris Johnson","2012-06-01"
"Groundout","N","Brian Bogusevic","2012-06-01"
"Groundout","N","J.D. Martinez","2012-06-01"
"Groundout","Y","Devin Mesoraco","2012-06-01"
"Strikeout","Y","Mike Leake","2012-06-01"
"Strikeout","Y","Zack Cozart","2012-06-01"
"Strikeout","Y","Zachary Cozart","2012-06-01"
"Strikeout","Y","Zach Cozart","2012-06-01"
"Groundout","N","Chris Snyder","2012-06-01"
"Strikeout","N","J.A. Happ","2012-06-01"
"Strikeout","N","Jordan Schafer","2012-06-01"
"Flyout","Y","Drew Stubbs","2012-06-01"
"Groundout","Y","Joey Votto","2012-06-01"
"Strikeout","Y","Brandon Phillips","2012-06-01"
"Single","N","Jose Altuve","2012-06-01"
"Single","N","Jed Lowrie","2012-06-01"
"Grounded Into DP","N","Carlos Lee","2012-06-01"
"Strikeout","N","Chris Johnson","2012-06-01"
"Strikeout","Y","Jay Bruce","2012-06-01"
"Walk","Y","Ryan Ludwick","2012-06-01"
"Flyout","Y","Todd Frazier","2012-06-01"
"Pop Out","Y","Devin Mesoraco","2012-06-01"
"Groundout","N","Brian Bogusevic","2012-06-01"
"Walk","N","J.D. Martinez","2012-06-01"
"Strikeout","N","Chris Snyder","2012-06-01"
"Strikeout","N","Justin Maxwell","2012-06-01"
"Strikeout","Y","Mike Costanzo","2012-06-01"
"Groundout","Y","Zack Cozart","2012-06-01"
"Groundout","Y","Zachary Cozart","2012-06-01"
"Groundout","Y","Zach Cozart","2012-06-01"
"Groundout","Y","Drew Stubbs","2012-06-01"
"Single","N","Jordan Schafer","2012-06-01"
"Single","N","Jordan Schafer","2012-06-01"
"Forceout","N","Jose Altuve","2012-06-01"
"Forceout","N","Jose Altuve","2012-06-01"
"Walk","N","Jed Lowrie","2012-06-01"
"Walk","N","Jed Lowrie","2012-06-01"
"Grounded Into DP","N","Carlos Lee","2012-06-01"
"Grounded Into DP","N","Carlos Lee","2012-06-01"
"Strikeout","Y","Joey Votto","2012-06-01"
"Groundout","Y","Brandon Phillips","2012-06-01"
"Home Run","Y","Jay Bruce","2012-06-01"
"Groundout","Y","Ryan Ludwick","2012-06-01"
"Strikeout","N","Chris Johnson","2012-06-01"
"Strikeout","N","Matt Downs","2012-06-01"
"Strikeout","N","J.D. Martinez","2012-06-01"
"Single","Y","Tony Gwynn","2012-06-01"
"Single","Y","Tony GwynnJr.","2012-06-01"
"Flyout","Y","Ivan De Jesus","2012-06-01"
"Flyout","Y","Ivan De JesusJr.","2012-06-01"
"Single","Y","Andre Ethier","2012-06-01"
"Grounded Into DP","Y","Jerry Hairston","2012-06-01"
"Grounded Into DP","Y","Jerry HairstonJr.","2012-06-01"
"Strikeout","N","Dexter Fowler","2012-06-01"
"Pop Out","N","Marco Scutaro","2012-06-01"
"Single","N","Carlos Gonzalez","2012-06-01"
"Runner Out","N","Michael Cuddyer","2012-06-01"
"Groundout","Y","Scott Van Slyke","2012-06-01"
"Strikeout","Y","Alex Castellanos","2012-06-01"
"Walk","Y","Matt Treanor","2012-06-01"
"Strikeout","Y","Devaris Gordon","2012-06-01"
"Strikeout","Y","Dee Gordon","2012-06-01"
"Field Error","N","Michael Cuddyer","2012-06-01"
"Flyout","N","Todd Helton","2012-06-01"
"Flyout","N","Jordan Pacheco","2012-06-01"
"Walk","N","Wilin Rosario","2012-06-01"
"Pop Out","N","DJ LeMahieu","2012-06-01"
"Strikeout","Y","Chris Capuano","2012-06-01"
"Pop Out","Y","Tony Gwynn","2012-06-01"
"Pop Out","Y","Tony GwynnJr.","2012-06-01"
"Strikeout","Y","Ivan De Jesus","2012-06-01"
"Strikeout","Y","Ivan De JesusJr.","2012-06-01"
"Strikeout","N","Josh Outman","2012-06-01"
"Groundout","N","Dexter Fowler","2012-06-01"
"Walk","N","Marco Scutaro","2012-06-01"
"Lineout","N","Carlos Gonzalez","2012-06-01"
"Strikeout","Y","Andre Ethier","2012-06-01"
"Flyout","Y","Jerry Hairston","2012-06-01"
"Flyout","Y","Jerry HairstonJr.","2012-06-01"
"Double","Y","Scott Van Slyke","2012-06-01"
"Triple","Y","Alex Castellanos","2012-06-01"
"Walk","Y","Matt Treanor","2012-06-01"
"Groundout","Y","Devaris Gordon","2012-06-01"
"Groundout","Y","Dee Gordon","2012-06-01"
"Walk","N","Michael Cuddyer","2012-06-01"
"Single","N","Todd Helton","2012-06-01"
"Grounded Into DP","N","Jordan Pacheco","2012-06-01"
"Groundout","N","Wilin Rosario","2012-06-01"
"Groundout","Y","Chris Capuano","2012-06-01"
"Walk","Y","Tony Gwynn","2012-06-01"
"Walk","Y","Tony GwynnJr.","2012-06-01"
"Strikeout","Y","Ivan De Jesus","2012-06-01"
"Strikeout","Y","Ivan De JesusJr.","2012-06-01"
"Groundout","Y","Andre Ethier","2012-06-01"
"Flyout","N","DJ LeMahieu","2012-06-01"
"Strikeout","N","Carlos Torres","2012-06-01"
"Single","N","Dexter Fowler","2012-06-01"
"Single","N","Marco Scutaro","2012-06-01"
"Single","N","Carlos Gonzalez","2012-06-01"
"Forceout","N","Michael Cuddyer","2012-06-01"
"Walk","Y","Jerry Hairston","2012-06-01"
"Walk","Y","Jerry HairstonJr.","2012-06-01"
"Single","Y","Scott Van Slyke","2012-06-01"
"Sac Fly","Y","Alex Castellanos","2012-06-01"
"Strikeout","Y","Matt Treanor","2012-06-01"
"Strikeout","Y","Matt Treanor","2012-06-01"
"Strikeout","Y","Devaris Gordon","2012-06-01"
"Strikeout","Y","Devaris Gordon","2012-06-01"
